UID,Business Name,Score (1-10),Tier,Vertical(s),Country,Website,FB Page,Phone,Email,WhatsApp,Full Address (HQ),Postal Code,Branch Count,Branches,Page Title,Meta Description,OG Title,OG Description,Google Keywords (count),Meta Spend Range,Meta Ad Count,Sample Ad Copy,Landing Page,First Seen,Notes
kimsdental.clinic,Kim's Dental Clinic,4,WARM,dental,SG,https://kimsdental.clinic,https://www.facebook.com/kimsdentalclinic/,,,,,,0,,,,,,0,,16,"Smile on every bite with Kim's Dental Implant ZERO 🦷

To continue our efforts to provide affordable implants, 9% GST will be included and will still be fully Medisave claimable! 

Korean Implant/ Impl",,,
ashforddentalcentre.com.sg,ashforddentalcentre.com.sg,4,WARM,dental,SG,https://ashforddentalcentre.com.sg,,,,,,,0,,,,,,1,,0,"Ashford Dental Centre Thomson — 215 Upper Thomson Rd · 6690 4691 
Closes soon · 9 pm 
On-site services 
",http://ashforddentalcentre.com.sg/,,
1728dental.com.sg,1728dental.com.sg,3,COLD,dental,SG,https://1728dental.com.sg,,,,,,,0,,,,,,1,,0,"1728 Dental Implant and Wisdom Tooth Surgery Centre — 704 Ang Mo Kio Ave 8, #01-2559 · 9834 1728 
Closes soon · 9 pm 
On-site services 
",http://www.1728dental.com.sg/,,
denticare.com.sg,denticare.com.sg,3,COLD,dental,SG,https://denticare.com.sg,,,,,,,0,,,,,,1,,0,"Denticare – Thomson (General Dental Treatments, Braces, Invisalign, Dental Implants, Scaling & Polishing) — 301, #02-12 Upper Thomson Rd, Thomson Plaza · 6590 4409 
Closed · Opens 9 am Fri 
On-site se",https://denticare.com.sg/,,
ndcs.com.sg,ndcs.com.sg,3,COLD,dental,SG,https://ndcs.com.sg,,,,,,,0,,,,,,1,,0,National Dental Centre Singapore — Get information about treatments and services at NDCS. Healthcare Professionals Learn about our programmes to educate and train oral healthcare professionals. Read m,https://www.ndcs.com.sg/,,
qandm.com.sg,qandm.com.sg,3,COLD,dental,SG,https://qandm.com.sg,,,,,,,0,,,,,,1,,0,"Q & M | 全民牙科集团 — It has grown from strength to strength and now has more than 100 clinics island-wide, thus making it the largest private dental healthcare group in Singapore. Read more",https://qandm.com.sg/,,
allsmilesdental.sg,allsmilesdental.sg,2,COLD,dental,SG,https://allsmilesdental.sg,,,,,,,0,,,,,,1,,0,"AllSmiles Dental Care - SG Dentists Islandwide Clinics — Find a trusted dentist in Singapore. With islandwide clinics in Punggol, Jurong, Bedok & more, we offer comprehensive dental care.",https://www.allsmilesdental.sg/,,
fdc.sg,fdc.sg,2,COLD,dental,SG,https://fdc.sg,,,,,,,0,,,,,,1,,0,Family Dental Centre: Affordable Dental Clinic in Singapore — Professional and affordable dental services for your peace of mind. Visit any of our dental clinics in Singapore today. CHAS subsidy avail,https://www.fdc.sg/,,
littleindiadentist.com.sg,littleindiadentist.com.sg,2,COLD,dental,SG,https://littleindiadentist.com.sg,,,,,,,0,,,,,,1,,0,"Family Dentists In Little India - Singapore — Family Dentists In Little India. Scaling & Polishing, Wisdom Tooth Surgery, Dental Implants, Dentures, Bollywood Smile Design. Book an Appointment. Call 6",https://www.littleindiadentist.com.sg/,,
roycedental.com.sg,roycedental.com.sg,2,COLD,dental,SG,https://roycedental.com.sg,,,,,,,0,,,,,,1,,0,"Royce Dental Group: Reliable Dental Services & Clinics in ... — Royce Dental Group provides comprehensive dental services in Singapore, from basic dentistry to specialist treatments, Book your appoint",https://roycedental.com.sg/,,
sda.org.sg,sda.org.sg,2,COLD,dental,SG,https://sda.org.sg,,,,,,,0,,,,,,1,,0,Find a Dentist - Singapore Dental Association (SDA) — Information on all registered dentists can be found at the Singapore Dental Council website.SEARCH NOW.,https://sda.org.sg/public/find-a-dentist/,,
tpdental.com.sg,tpdental.com.sg,2,COLD,dental,SG,https://tpdental.com.sg,,,,,,,0,,,,,,1,,0,"TP Dental: Your Trusted Dental Clinic in Singapore — Located on Orchard Road, our clinic provides complete general & specialised dental services. With cutting-edge technology and experienced team of d",https://www.tpdental.com.sg/,,
brightside.sg,Brightside Dental,1,COLD,dental,SG,https://brightside.sg,https://www.facebook.com/brightsidesg/,,,,,,0,,,,,,0,,3,"In under a minute, Dr Jeremy breaks down the differences between ceramic and composite veneers from durability and aesthetics to cost and treatment time.

We've received many questions about this, so ",,,
chinatown.compasschiropractic.sg,Compass Chiropractic SG,1,COLD,dental,SG,https://chinatown.compasschiropractic.sg,https://www.facebook.com/compasschiropracticsg/,,,,,,0,,,,,,0,,1,"Hey Chinatown? Feeling strain in back, neck, and headaches everyday? 

Maybe it starts in your neck after hours at the desk, and suddenly it's hard to focus on that important report.

Your lower back ",,,
